NEWAGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,GEO_ID
6,1321,566,755,0500000US01099
7,567,179,388,0500000US01099
0,225763,106522,119241,0500000US01101
1,59055,30036,29019,0500000US01101
2,76774,36686,40088,0500000US01101
3,27297,12711,14586,0500000US01101
4,28464,12828,15636,0500000US01101
5,20192,8872,11320,0500000US01101
6,9969,4030,5939,0500000US01101
7,4012,1359,2653,0500000US01101
0,119089,58682,60407,0500000US01103
1,29809,15312,14497,0500000US01103
2,35790,18168,17622,0500000US01103
3,16359,8140,8219,0500000US01103
4,16328,7963,8365,0500000US01103
5,12081,5496,6585,0500000US01103
6,6532,2841,3691,0500000US01103
7,2190,762,1428,0500000US01103
0,9140,4281,4859,0500000US01105
1,2483,1322,1161,0500000US01105
2,2700,1246,1454,0500000US01105
3,1000,465,535,0500000US01105
4,1183,533,650,0500000US01105
5,940,393,547,0500000US01105
6,599,255,344,0500000US01105
7,235,67,168,0500000US01105
0,19938,9948,9990,0500000US01107
1,4368,2314,2054,0500000US01107
2,6184,3223,2961,0500000US01107
3,2724,1277,1447,0500000US01107
4,2869,1411,1458,0500000US01107
5,2140,1029,1111,0500000US01107
6,1223,535,688,0500000US01107
7,430,159,271,0500000US01107
0,33338,16098,17240,0500000US01109
1,8234,4047,4187,0500000US01109
2,13030,6550,6480,0500000US01109
3,3369,1567,1802,0500000US01109
4,3718,1723,1995,0500000US01109
5,2877,1357,1520,0500000US01109
6,1545,681,864,0500000US01109
7,565,173,392,0500000US01109
0,22725,11056,11669,0500000US01111
1,5494,2829,2665,0500000US01111
2,6206,3016,3190,0500000US01111
3,3042,1471,1571,0500000US01111
4,3358,1657,1701,0500000US01111
5,2658,1302,1356,0500000US01111
6,1476,629,847,0500000US01111
7,491,152,339,0500000US01111
0,57781,27745,30036,0500000US01113
1,15253,7849,7404,0500000US01113
2,19515,9428,10087,0500000US01113
3,7338,3515,3823,0500000US01113
4,7395,3505,3890,0500000US01113
5,4999,2223,2776,0500000US01113
6,2388,985,1403,0500000US01113
7,893,240,653,0500000US01113
0,88690,44027,44663,0500000US01115
1,21881,11411,10470,0500000US01115
2,27647,13981,13666,0500000US01115
3,12254,6136,6118,0500000US01115
4,12170,5913,6257,0500000US01115
5,8944,4121,4823,0500000US01115
6,4493,2001,2492,0500000US01115
7,1301,464,837,0500000US01115
0,215707,104270,111437,0500000US01117
1,55786,28090,27696,0500000US01117
2,68257,33215,35042,0500000US01117
3,30589,14899,15690,0500000US01117
4,27988,13336,14652,0500000US01117
5,20280,9410,10870,0500000US01117
6,9391,4092,5299,0500000US01117
7,3416,1228,2188,0500000US01117
0,12691,5802,6889,0500000US01119
1,3062,1526,1536,0500000US01119
2,4243,1949,2294,0500000US01119
3,1320,586,734,0500000US01119
4,1780,813,967,0500000US01119
5,1262,593,669,0500000US01119
6,664,242,422,0500000US01119
7,360,93,267,0500000US01119
0,79828,38580,41248,0500000US01121
1,18805,9395,9410,0500000US01121
2,24487,12071,12416,0500000US01121
3,10874,5314,5560,0500000US01121
4,11292,5357,5935,0500000US01121
5,8664,4085,4579,0500000US01121
6,4349,1881,2468,0500000US01121
7,1357,477,880,0500000US01121
0,40497,19632,20865,0500000US01123
1,9200,4711,4489,0500000US01123
2,11002,5342,5660,0500000US01123
3,5385,2549,2836,0500000US01123
4,6179,3028,3151,0500000US01123
5,5211,2453,2758,0500000US01123
6,2706,1219,1487,0500000US01123
7,814,330,484,0500000US01123
0,208911,100589,108322,0500000US01125
1,53972,27024,26948,0500000US01125
2,79885,39144,40741,0500000US01125
3,23400,11180,12220,0500000US01125
4,23911,11274,12637,0500000US01125
5,16905,7821,9084,0500000US01125
6,7685,3159,4526,0500000US01125
7,3153,987,2166,0500000US01125
0,63711,31040,32671,0500000US01127
1,15441,7912,7529,0500000US01127
2,18483,9154,9329,0500000US01127
3,8477,4296,4181,0500000US01127
4,8999,4275,4724,0500000US01127
5,7290,3353,3937,0500000US01127
6,3954,1681,2273,0500000US01127
7,1067,369,698,0500000US01127
0,16378,8055,8323,0500000US01129
1,3993,2063,1930,0500000US01129
2,4602,2307,2295,0500000US01129
3,2248,1100,1148,0500000US01129
4,2405,1171,1234,0500000US01129
5,1848,872,976,0500000US01129
6,957,422,535,0500000US01129
7,325,120,205,0500000US01129
0,10627,5056,5571,0500000US01131
1,2824,1415,1409,0500000US01131
2,2997,1446,1551,0500000US01131
3,1279,574,705,0500000US01131
4,1461,698,763,0500000US01131
5,1222,601,621,0500000US01131
6,595,255,340,0500000US01131
7,249,67,182,0500000US01131
0,23660,11655,12005,0500000US01133
1,5325,2731,2594,0500000US01133
2,6368,3187,3181,0500000US01133
3,3336,1700,1636,0500000US01133
4,3530,1748,1782,0500000US01133
5,2937,1405,1532,0500000US01133
6,1611,704,907,0500000US01133
7,553,180,373,0500000US01133
0,3515,2374,1141,0500000US02013
1,326,181,145,0500000US02013
2,1597,1186,411,0500000US02013
3,776,524,252,0500000US02013
4,492,295,197,0500000US02013
5,226,126,100,0500000US02013
6,70,44,26,0500000US02013
7,28,18,10,0500000US02013
0,5723,3750,1973,0500000US02016
1,740,375,365,0500000US02016
2,2512,1731,781,0500000US02016
3,1148,792,356,0500000US02016
4,929,607,322,0500000US02016
5,327,205,122,0500000US02016
6,46,29,17,0500000US02016
7,21,11,10,0500000US02016
0,291538,148384,143154,0500000US02020
1,78030,40215,37815,0500000US02020
2,110745,57842,52903,0500000US02020
3,35043,17569,17474,0500000US02020
4,35387,17526,17861,0500000US02020
5,21160,10478,10682,0500000US02020
6,8166,3654,4512,0500000US02020
7,3007,1100,1907,0500000US02020
0,18216,9376,8840,0500000US02050
1,7134,3652,3482,0500000US02050
2,6003,3050,2953,0500000US02050
3,1820,991,829,0500000US02050
4,1857,1011,846,0500000US02050
5,948,487,461,0500000US02050
6,373,164,209,0500000US02050
7,81,21,60,0500000US02050
0,877,468,409,0500000US02060
1,187,96,91,0500000US02060
2,290,153,137,0500000US02060
3,108,60,48,0500000US02060
4,165,90,75,0500000US02060
5,83,50,33,0500000US02060
6,39,19,20,0500000US02060
7,5,0,5,0500000US02060
0,2059,1146,913,0500000US02068
1,409,231,178,0500000US02068
2,719,387,332,0500000US02068
3,363,190,173,0500000US02068
4,323,183,140,0500000US02068
5,183,117,66,0500000US02068
6,54,33,21,0500000US02068
7,8,5,3,0500000US02068
0,5000,2518,2482,0500000US02070
1,1722,831,891,0500000US02070
2,1657,835,822,0500000US02070
3,524,273,251,0500000US02070
4,627,333,294,0500000US02070
5,314,166,148,0500000US02070
6,121,65,56,0500000US02070
7,35,15,20,0500000US02070
0,98971,53310,45661,0500000US02090
1,26466,13752,12714,0500000US02090
2,41323,23669,17654,0500000US02090
3,10135,5231,4904,0500000US02090
4,10843,5385,5458,0500000US02090
5,7114,3826,3288,0500000US02090
6,2394,1172,1222,0500000US02090
7,696,275,421,0500000US02090
0,2474,1222,1252,0500000US02100
1,470,227,243,0500000US02100
2,650,329,321,0500000US02100
3,324,149,175,0500000US02100
4,484,246,238,0500000US02100
5,391,206,185,0500000US02100
6,106,49,57,0500000US02100
7,49,16,33,0500000US02100
0,2151,1134,1017,0500000US02105
1,431,206,225,0500000US02105
2,524,268,256,0500000US02105
3,320,177,143,0500000US02105
4,393,208,185,0500000US02105
5,323,179,144,0500000US02105
6,136,81,55,0500000US02105
7,24,15,9,0500000US02105
0,32113,16313,15800,0500000US02110
1,7588,3883,3705,0500000US02110
2,11278,5772,5506,0500000US02110
3,4297,2200,2097,0500000US02110
4,4652,2389,2263,0500000US02110
5,2981,1514,1467,0500000US02110
6,989,459,530,0500000US02110
7,328,96,232,0500000US02110
0,58533,30488,28045,0500000US02122
1,14447,7458,6989,0500000US02122
2,17467,9281,8186,0500000US02122
3,7123,3697,3426,0500000US02122
